year,metric,before,after,delta
1745,ate_total_count,18,17,-1
1745,upper_ate_count,1,1,0
1745,middle_ate_count,3,2,-1
1745,lower_ate_count,15,14,-1
1745,total_area_km2,5109151.132,5066082.09,-43069.042000000365
1745,total_population,0.0,,
1745,rail_length_km_total,0.0,0.0,0.0
1745,avg_adjacency,4.266667,4.0,-0.266667
1745,nodes,15,14,-1
1745,edges,32,28,-4
1745,components,1,1,0
1745,graph_density,0.304762,0.307692,0.0029300000000000437
1745,bridges,0,0,0
1745,articulation_points,0,0,0
1745,avg_lower_units_per_upper_ate,15.0,14.0,-1.0
1745,avg_area_upper_ate_km2,5109151.132,5066082.09,-43069.042000000365
1745,avg_area_middle_ate_km2,1703050.377,2533041.045,829990.6679999998
1765,ate_total_count,19,17,-2
1765,upper_ate_count,3,1,-2
1765,middle_ate_count,3,2,-1
1765,lower_ate_count,17,15,-2
1765,total_area_km2,5110770.489,5014658.167,-96112.3219999997
1765,total_population,0.0,,
1765,rail_length_km_total,0.0,0.0,0.0
1765,avg_adjacency,4.352941,4.0,-0.3529410000000004
1765,nodes,17,15,-2
1765,edges,37,30,-7
1765,components,1,1,0
1765,graph_density,0.272059,0.285714,0.013655000000000028
1765,bridges,0,0,0
1765,articulation_points,0,0,0
1765,avg_lower_units_per_upper_ate,5.666667,15.0,9.333333
1765,avg_area_upper_ate_km2,1703590.163,5014658.167,3311068.0040000007
1765,avg_area_middle_ate_km2,1689096.358,2507329.083,818232.7250000001
1926,ate_total_count,241,241,0
1926,upper_ate_count,2,2,0
1926,middle_ate_count,15,15,0
1926,lower_ate_count,219,219,0
1926,total_area_km2,2245262.24,2245262.24,0.0
1926,total_population,7492496.0,7492496.0,0.0
1926,rail_length_km_total,6057.37,6057.37,0.0
1926,avg_adjacency,5.39726,5.39726,0.0
1926,nodes,219,219,0
1926,edges,591,591,0
1926,components,1,1,0
1926,graph_density,0.024758,0.024758,0.0
1926,bridges,1,1,0
1926,articulation_points,1,1,0
1926,avg_lower_units_per_upper_ate,109.5,109.5,0.0
1926,avg_area_upper_ate_km2,1122293.76,1122293.76,0.0
1926,avg_area_middle_ate_km2,149639.168,149639.168,0.0
1930,ate_total_count,213,213,0
1930,upper_ate_count,2,2,0
1930,middle_ate_count,14,14,0
1930,lower_ate_count,189,189,0
1930,total_area_km2,2270897.13,2270897.13,0.0
1930,total_population,7595023.0,7595023.0,0.0
1930,rail_length_km_total,0.0,0.0,0.0
1930,avg_adjacency,5.375661,5.375661,0.0
1930,nodes,189,189,0
1930,edges,508,508,0
1930,components,1,1,0
1930,graph_density,0.028594,0.028594,0.0
1930,bridges,4,4,0
1930,articulation_points,4,4,0
1930,avg_lower_units_per_upper_ate,92.5,92.5,0.0
1930,avg_area_upper_ate_km2,1135405.605,1135405.605,0.0
1930,avg_area_middle_ate_km2,162200.801,162200.801,0.0
2021,ate_total_count,262,262,0
2021,upper_ate_count,7,7,0
2021,middle_ate_count,2,2,0
2021,lower_ate_count,254,254,0
2021,total_area_km2,2368979.99,2368979.99,0.0
2021,total_population,14647964.0,14647964.0,0.0
2021,rail_length_km_total,16469.51,16469.51,0.0
2021,avg_adjacency,4.96063,4.96063,0.0
2021,nodes,254,254,0
2021,edges,630,630,0
2021,components,1,1,0
2021,graph_density,0.019607,0.019607,0.0
2021,bridges,25,25,0
2021,articulation_points,21,21,0
2021,avg_lower_units_per_upper_ate,36.0,36.0,0.0
2021,avg_area_upper_ate_km2,338422.069,338422.069,0.0
2021,avg_area_middle_ate_km2,609361.06,609361.06,0.0
