year,unit_id,name,old_rail_length_km,new_rail_length_km,segments
1897,adm_1897_1,Атбасарский уезд,0.0,0.0,0
1897,adm_1897_10,,0.0,0.0,0
1897,adm_1897_11,Омский уезд,288.32,165.91,5
1897,adm_1897_12,,0.0,0.0,0
1897,adm_1897_15,Мариинский округ,0.0,0.0,0
1897,adm_1897_16,Семипалатинский уезд,0.0,0.0,0
1897,adm_1897_17,Петропавловский уезд,245.73,141.51,4
1897,adm_1897_18,Бийский округ,0.0,0.0,0
1897,adm_1897_19,Каинский округ,656.29,374.84,5
1897,adm_1897_2,Зайсанский уезд,0.0,0.0,0
1897,adm_1897_20,Томский округ,117.4,67.49,3
1897,adm_1897_21,Ишимский округ,153.62,88.3,1
1897,adm_1897_22,,0.0,0.0,0
1897,adm_1897_23,Тобольский округ,0.0,0.0,0
1897,adm_1897_24,Сургутский округ,0.0,0.0,0
1897,adm_1897_25,Тарский округ,0.0,0.0,0
1897,adm_1897_26,Тюкалинский округ,276.86,158.72,4
1897,adm_1897_27,Курганский округ,334.89,190.71,4
1897,adm_1897_28,Ялуторовский округ,0.0,0.0,0
1897,adm_1897_29,Туринский округ,0.0,0.0,0
1897,adm_1897_3,Каркаралинский уезд,0.0,0.0,0
1897,adm_1897_30,Тюменский округ,141.77,76.94,2
1897,adm_1897_4,Павлодарский уезд,0.0,0.0,0
1897,adm_1897_5,Змеиногорский округ,0.0,0.0,0
1897,adm_1897_6,Кузнецкий округ,0.0,0.0,0
1897,adm_1897_7,кокчетавский уезд,0.0,0.0,0
1897,adm_1897_8,Барнаульский округ,10.86,6.24,1
1897,adm_1897_9,Акмолинский уезд,0.0,0.0,0
1897,adm_1897_diss_2630940,Берёзовский округ,0.0,0.0,0
1897,adm_1897_31,Усть-Каменогорский уезд,0.0,0.0,0
