year,features_in_stats,district_like_units_count,district_without_urban_pop_count,urban_rank_units_count
1700,19,19,19,0
1719,28,24,24,0
1724,28,24,24,0
1727,18,16,16,0
1745,14,14,14,0
1765,15,14,14,0
1780,5,5,5,0
1783,22,22,22,0
1798,18,17,17,0
1805,18,17,17,0
1809,17,16,16,0
1821,17,16,16,0
1838,19,0,0,0
1848,15,0,0,0
1855,26,0,0,0
1876,27,0,0,0
1897,30,10,0,0
1914,28,27,1,0
1918,33,10,5,0
1923,30,26,9,0
1926,278,264,254,13
1930,206,192,177,14
1939,241,185,185,56
1947,252,216,37,36
1959,250,214,148,36
1964,158,120,83,38
1970,235,186,186,49
1979,247,191,191,56
1989,221,185,79,21
2021,288,225,136,63
