year,admin_parent,features,population,urban_pop,rural_pop,area_km2
1930,Тобольский округ,11,204394,22400,181994,1152910.38
1930,Ойратская АО,11,125866,7900,117966,92132.89
1930,Рубцовский округ,10,384687,20600,364087,30850.37
1930,Бийский округ,15,696097,51800,644297,49889.81
1930,Славгородский округ,14,411942,16300,395642,42726.14
1930,Барнаульский округ,13,689208,81900,607308,37345.56
1930,Каменский округ,13,413916,22800,391116,28227.06
1930,Щегловский округ,14,623388,156200,467188,63048.18
1930,Новосибирский округ,17,794339,181200,613139,57686.11
1930,Омский округ,22,988828,175500,813328,139653.44
1930,Каинский округ,21,601629,32000,569629,108063.96
1930,Ишимский округ,13,368866,17400,351466,40927.11
1930,Томский округ,28,909777,174400,735377,393713.2
1930,Ачинский округ,6,49378,0,49378,38350.76
1930,Тюменский округ,11,364661,62600,302061,34383.92
1947,Горно-Алтайская автономная область,9,123820,26344,97476,86493.42
1947,Алтайский край,72,2133881,651516,1482365,175642.54
1947,Кемеровская область,35,1658494,1060002,598492,97413.07
1947,Новосибирская область,41,1856491,880907,975584,177604.56
1947,Омская область,36,1319327,471529,847798,141931.01
1947,Тюменская область,26,772025,132077,639948,132490.69
1947,Томская область,17,599917,255692,344225,317996.0
1947,ХМАО,8,90576,7237,83339,562120.18
1947,ЯНАО,8,49898,15896,34002,685284.22
1964,Горно-Алтайская автономная область,8,161571,32799,128772,92794.18
1964,Новосибирская область,25,2414609,1358471,1056138,177490.98
1964,Омская область,16,1782235,838002,944233,141373.7
1964,Кемеровская область,26,2781438,2180552,600886,95823.89
1964,Тюменская область,15,1006380,352633,653747,159019.46
1964,Томская область,14,774103,396206,377897,314428.92
1964,ХМАО,7,189011,65800,123211,536647.85
1964,ЯНАО,8,69190,26063,43127,791126.59
1964,Алтайский край,39,2419646,818635,1601011,168359.11
