year,admin_parent,population,urban_pop,rural_pop
1926,Барабинский округ,503371.0,27134,476237
1926,Барнаульский округ,699490.0,73858,625632
1926,Бийский округ,743230.0,45561,697669
1926,Ирбитский округ,266978.0,0,266978
1926,Ишимский округ,427161.0,13812,413349
1926,Каменский округ,445767.0,22982,422785
1926,Кузнецкий округ,404706.0,45265,359441
1926,Курганский округ,510456.0,0,510456
1926,Новосибирский округ,794526.0,128935,665591
1926,Ойратская авт. область,93976.0,0,93976
1926,Омский округ,824420.0,165871,658549
1926,Рубцовский округ,418824.0,0,418824
1926,Славгородский,433522.0,17784,415738
1926,Тарский округ,277504.0,10345,267159
1926,Тобольский округ,184881.0,29437,155444
1926,Томский округ,723347.0,114643,608704
1926,Тюменский округ,517771.0,58529,459242
1926,Шадринский округ,659247.0,0,659247
1926,,0.0,0,0
1930,Ачинский округ,49378.0,0,49378
1930,Барнаульский округ,712752.0,91316,621436
1930,Бийский округ,695701.0,51404,644297
1930,Ишимский округ,368866.0,17400,351466
1930,Каинский округ,608177.0,38548,569629
1930,Каменский округ,411678.0,27175,384503
1930,Новосибирский округ,767947.0,154808,613139
1930,Ойратская АО,126040.0,8074,117966
1930,Омский округ,1014814.0,201486,813328
1930,Рубцовский округ,386639.0,22552,364087
1930,Славгородский округ,419724.0,24082,395642
1930,Тобольский округ,204394.0,22400,181994
1930,Томский округ,919477.0,184100,735377
1930,Тюменский округ,372835.0,70774,302061
1930,Щегловский округ,585979.0,118791,467188
